Institution code (UKPRN),Institution name,Institution sort order,Main panel,Unit of assessment number,Unit of assessment name,Multiple submission letter,Multiple submission name,Joint submission,Profile,FTE Category A staff submitted,4*,3*,2*,1*,unclassified,Area,Post92
10007143,University of Durham,420,D,32,Philosophy, ,,,Impact,18.85,13.3,60,0,26.7,0,NEAS,FALSE
10007143,University of Durham,420,D,32,Philosophy, ,,,Environment,18.85,60,40,0,0,0,NEAS,FALSE
10007143,University of Durham,420,D,32,Philosophy, ,,,Overall,18.85,20,50,22,8,0,NEAS,FALSE
10007143,University of Durham,420,D,33,Theology and Religious Studies, ,,,Outputs,24.8,34.8,42.4,21.7,1.1,0,NEAS,FALSE
10007143,University of Durham,420,D,33,Theology and Religious Studies, ,,,Impact,24.8,76.7,23.3,0,0,0,NEAS,FALSE
10007143,University of Durham,420,D,33,Theology and Religious Studies, ,,,Environment,24.8,80,20,0,0,0,NEAS,FALSE
10007143,University of Durham,420,D,33,Theology and Religious Studies, ,,,Overall,24.8,50,35,14,1,0,NEAS,FALSE
10007143,University of Durham,420,D,35,"Music, Drama, Dance and Performing Arts", ,,,Outputs,14.9,41.1,42.8,12.5,3.6,0,NEAS,FALSE
10007143,University of Durham,420,D,35,"Music, Drama, Dance and Performing Arts", ,,,Impact,14.9,80,20,0,0,0,NEAS,FALSE
10007143,University of Durham,420,D,35,"Music, Drama, Dance and Performing Arts", ,,,Environment,14.9,70,30,0,0,0,NEAS,FALSE
10007143,University of Durham,420,D,35,"Music, Drama, Dance and Performing Arts", ,,,Overall,14.9,53,37,8,2,0,NEAS,FALSE
10007789,University of East Anglia,430,A,1,Clinical Medicine, ,,,Outputs,14.4,34.5,47.3,9.1,9.1,0,EAST,FALSE
10007789,University of East Anglia,430,A,1,Clinical Medicine, ,,,Impact,14.4,40,20,0,40,0,EAST,FALSE
10007789,University of East Anglia,430,A,1,Clinical Medicine, ,,,Environment,14.4,12.5,75,12.5,0,0,EAST,FALSE
10007789,University of East Anglia,430,A,1,Clinical Medicine, ,,,Overall,14.4,32,46,8,14,0,EAST,FALSE
10007789,University of East Anglia,430,A,2,"Public Health, Health Services and Primary Care", ,,,Outputs,14,17.9,58.9,23.2,0,0,EAST,FALSE
10007789,University of East Anglia,430,A,2,"Public Health, Health Services and Primary Care", ,,,Impact,14,50,50,0,0,0,EAST,FALSE
10007789,University of East Anglia,430,A,2,"Public Health, Health Services and Primary Care", ,,,Environment,14,0,100,0,0,0,EAST,FALSE
10007789,University of East Anglia,430,A,2,"Public Health, Health Services and Primary Care", ,,,Overall,14,22,63,15,0,0,EAST,FALSE
10007789,University of East Anglia,430,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",A,Pharmacy,,Outputs,14.2,47.6,47.6,4.8,0,0,EAST,FALSE
10007789,University of East Anglia,430,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",A,Pharmacy,,Impact,14.2,40,10,50,0,0,EAST,FALSE
10007789,University of East Anglia,430,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",A,Pharmacy,,Environment,14.2,37.5,62.5,0,0,0,EAST,FALSE
10007789,University of East Anglia,430,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",A,Pharmacy,,Overall,14.2,45,42,13,0,0,EAST,FALSE
10007789,University of East Anglia,430,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",B,Allied Health Professions and Nursing,,Outputs,14,37.3,52.9,9.8,0,0,EAST,FALSE
10007789,University of East Anglia,430,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",B,Allied Health Professions and Nursing,,Impact,14,40,60,0,0,0,EAST,FALSE
10007789,University of East Anglia,430,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",B,Allied Health Professions and Nursing,,Environment,14,12.5,75,12.5,0,0,EAST,FALSE
10007789,University of East Anglia,430,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",B,Allied Health Professions and Nursing,,Overall,14,34,58,8,0,0,EAST,FALSE
10007789,University of East Anglia,430,A,4,"Psychology, Psychiatry and Neuroscience", ,,,Outputs,13.6,25.8,45.2,29,0,0,EAST,FALSE
10007789,University of East Anglia,430,A,4,"Psychology, Psychiatry and Neuroscience", ,,,Impact,13.6,60,40,0,0,0,EAST,FALSE
10007789,University of East Anglia,430,A,4,"Psychology, Psychiatry and Neuroscience", ,,,Environment,13.6,0,100,0,0,0,EAST,FALSE
10007789,University of East Anglia,430,A,4,"Psychology, Psychiatry and Neuroscience", ,,,Overall,13.6,29,52,19,0,0,EAST,FALSE
10007789,University of East Anglia,430,A,5,Biological Sciences, ,,,Outputs,44,27.6,52.2,19.6,0.6,0,EAST,FALSE
10007789,University of East Anglia,430,A,5,Biological Sciences, ,,,Impact,44,40,60,0,0,0,EAST,FALSE
10007789,University of East Anglia,430,A,5,Biological Sciences, ,,,Environment,44,12.5,87.5,0,0,0,EAST,FALSE
10007789,University of East Anglia,430,A,5,Biological Sciences, ,,,Overall,44,28,59,13,0,0,EAST,FALSE
10007789,University of East Anglia,430,A,6,"Agriculture, Veterinary and Food Science", ,,,Outputs,11,19.5,63.4,17.1,0,0,EAST,FALSE
10007789,University of East Anglia,430,A,6,"Agriculture, Veterinary and Food Science", ,,,Impact,11,40,60,0,0,0,EAST,FALSE
10007789,University of East Anglia,430,A,6,"Agriculture, Veterinary and Food Science", ,,,Environment,11,75,25,0,0,0,EAST,FALSE
10007789,University of East Anglia,430,A,6,"Agriculture, Veterinary and Food Science", ,,,Overall,11,32,57,11,0,0,EAST,FALSE
10007789,University of East Anglia,430,B,7,Earth Systems and Environmental Sciences, ,,,Outputs,63,19.2,61.6,16.3,0.4,2.5,EAST,FALSE
10007789,University of East Anglia,430,B,7,Earth Systems and Environmental Sciences, ,,,Impact,63,77.1,22.9,0,0,0,EAST,FALSE
10007789,University of East Anglia,430,B,7,Earth Systems and Environmental Sciences, ,,,Environment,63,50,50,0,0,0,EAST,FALSE
10007789,University of East Anglia,430,B,7,Earth Systems and Environmental Sciences, ,,,Overall,63,35,53,10,0,2,EAST,FALSE
10007789,University of East Anglia,430,B,8,Chemistry, ,,,Outputs,19.6,32.3,64.6,3.1,0,0,EAST,FALSE
10007789,University of East Anglia,430,B,8,Chemistry, ,,,Impact,19.6,40,60,0,0,0,EAST,FALSE
10007789,University of East Anglia,430,B,8,Chemistry, ,,,Environment,19.6,0,100,0,0,0,EAST,FALSE
10007789,University of East Anglia,430,B,8,Chemistry, ,,,Overall,19.6,29,69,2,0,0,EAST,FALSE
10007789,University of East Anglia,430,B,10,Mathematical Sciences, ,,,Outputs,22,14.6,73.2,12.2,0,0,EAST,FALSE
10007789,University of East Anglia,430,B,10,Mathematical Sciences, ,,,Impact,22,0,73.3,26.7,0,0,EAST,FALSE
10007789,University of East Anglia,430,B,10,Mathematical Sciences, ,,,Environment,22,0,75,25,0,0,EAST,FALSE
10007789,University of East Anglia,430,B,10,Mathematical Sciences, ,,,Overall,22,9,74,17,0,0,EAST,FALSE
10007789,University of East Anglia,430,B,11,Computer Science and Informatics, ,,,Outputs,18.2,31.4,44.3,24.3,0,0,EAST,FALSE
10007789,University of East Anglia,430,B,11,Computer Science and Informatics, ,,,Impact,18.2,26.7,50,23.3,0,0,EAST,FALSE
10007789,University of East Anglia,430,B,11,Computer Science and Informatics, ,,,Environment,18.2,15,85,0,0,0,EAST,FALSE
10007789,University of East Anglia,430,B,11,Computer Science and Informatics, ,,,Overall,18.2,28,52,20,0,0,EAST,FALSE
10007789,University of East Anglia,430,C,18,Economics and Econometrics, ,,,Outputs,14,20.4,71.4,8.2,0,0,EAST,FALSE
10007789,University of East Anglia,430,C,18,Economics and Econometrics, ,,,Impact,14,20,60,20,0,0,EAST,FALSE
10007789,University of East Anglia,430,C,18,Economics and Econometrics, ,,,Environment,14,0,75,25,0,0,EAST,FALSE
10007789,University of East Anglia,430,C,18,Economics and Econometrics, ,,,Overall,14,17,70,13,0,0,EAST,FALSE
10007789,University of East Anglia,430,C,19,Business and Management Studies, ,,,Outputs,24.1,30.7,44,24,1.3,0,EAST,FALSE
10007789,University of East Anglia,430,C,19,Business and Management Studies, ,,,Impact,24.1,50,50,0,0,0,EAST,FALSE
10007789,University of East Anglia,430,C,19,Business and Management Studies, ,,,Environment,24.1,0,75,25,0,0,EAST,FALSE
10007789,University of East Anglia,430,C,19,Business and Management Studies, ,,,Overall,24.1,30,50,19,1,0,EAST,FALSE
10007789,University of East Anglia,430,C,20,Law, ,,,Outputs,12.6,25.6,41.1,30.7,2.6,0,EAST,FALSE
10007789,University of East Anglia,430,C,20,Law, ,,,Impact,12.6,40,40,20,0,0,EAST,FALSE
10007789,University of East Anglia,430,C,20,Law, ,,,Environment,12.6,12.5,75,12.5,0,0,EAST,FALSE
10007789,University of East Anglia,430,C,20,Law, ,,,Overall,12.6,27,45,26,2,0,EAST,FALSE
10007789,University of East Anglia,430,C,21,Politics and International Studies, ,,,Outputs,12,25,40,27.5,7.5,0,EAST,FALSE
10007789,University of East Anglia,430,C,21,Politics and International Studies, ,,,Impact,12,0,90,10,0,0,EAST,FALSE
10007789,University of East Anglia,430,C,21,Politics and International Studies, ,,,Environment,12,25,37.5,37.5,0,0,EAST,FALSE
10007789,University of East Anglia,430,C,21,Politics and International Studies, ,,,Overall,12,20,50,25,5,0,EAST,FALSE
10007789,University of East Anglia,430,C,22,Social Work and Social Policy, ,,,Outputs,9.6,48.7,38.5,12.8,0,0,EAST,FALSE
10007789,University of East Anglia,430,C,22,Social Work and Social Policy, ,,,Impact,9.6,80,20,0,0,0,EAST,FALSE
10007789,University of East Anglia,430,C,22,Social Work and Social Policy, ,,,Environment,9.6,0,87.5,12.5,0,0,EAST,FALSE
10007789,University of East Anglia,430,C,22,Social Work and Social Policy, ,,,Overall,9.6,48,42,10,0,0,EAST,FALSE
10007789,University of East Anglia,430,C,24,Anthropology and Development Studies, ,,,Outputs,23.8,23,41,33,3,0,EAST,FALSE
10007789,University of East Anglia,430,C,24,Anthropology and Development Studies, ,,,Impact,23.8,46.7,40,13.3,0,0,EAST,FALSE
10007789,University of East Anglia,430,C,24,Anthropology and Development Studies, ,,,Environment,23.8,75,25,0,0,0,EAST,FALSE
10007789,University of East Anglia,430,C,24,Anthropology and Development Studies, ,,,Overall,23.8,36,38,24,2,0,EAST,FALSE
10007789,University of East Anglia,430,C,25,Education, ,,,Outputs,13.2,22,52,22,0,4,EAST,FALSE
10007789,University of East Anglia,430,C,25,Education, ,,,Impact,13.2,0,80,10,10,0,EAST,FALSE
10007789,University of East Anglia,430,C,25,Education, ,,,Environment,13.2,0,87.5,12.5,0,0,EAST,FALSE
10007789,University of East Anglia,430,C,25,Education, ,,,Overall,13.2,14,63,18,2,3,EAST,FALSE
10007789,University of East Anglia,430,D,27,Area Studies, ,,,Outputs,14,30,32.5,37.5,0,0,EAST,FALSE
10007789,University of East Anglia,430,D,27,Area Studies, ,,,Impact,14,50,50,0,0,0,EAST,FALSE
10007789,University of East Anglia,430,D,27,Area Studies, ,,,Environment,14,30,60,10,0,0,EAST,FALSE
10007789,University of East Anglia,430,D,27,Area Studies, ,,,Overall,14,34,40,26,0,0,EAST,FALSE
10007789,University of East Anglia,430,D,29,English Language and Literature, ,,,Outputs,18.3,36.1,36,27.9,0,0,EAST,FALSE
10007789,University of East Anglia,430,D,29,English Language and Literature, ,,,Impact,18.3,53.3,46.7,0,0,0,EAST,FALSE
10007789,University of East Anglia,430,D,29,English Language and Literature, ,,,Environment,18.3,70,30,0,0,0,EAST,FALSE
10007789,University of East Anglia,430,D,29,English Language and Literature, ,,,Overall,18.3,45,37,18,0,0,EAST,FALSE
10007789,University of East Anglia,430,D,30,History, ,,,Outputs,34.8,34.9,41.2,22.1,1.8,0,EAST,FALSE
10007789,University of East Anglia,430,D,30,History, ,,,Impact,34.8,30,40,30,0,0,EAST,FALSE
10007789,University of East Anglia,430,D,30,History, ,,,Environment,34.8,30,60,10,0,0,EAST,FALSE
10007789,University of East Anglia,430,D,30,History, ,,,Overall,34.8,33,44,22,1,0,EAST,FALSE
10007789,University of East Anglia,430,D,32,Philosophy, ,,,Outputs,6.3,17.4,43.5,39.1,0,0,EAST,FALSE
10007789,University of East Anglia,430,D,32,Philosophy, ,,,Impact,6.3,50,50,0,0,0,EAST,FALSE
10007789,University of East Anglia,430,D,32,Philosophy, ,,,Environment,6.3,0,50,50,0,0,EAST,FALSE
10007789,University of East Anglia,430,D,32,Philosophy, ,,,Overall,6.3,21,46,33,0,0,EAST,FALSE
10007789,University of East Anglia,430,D,34,"Art and Design: History, Practice and Theory", ,,,Outputs,14.9,9.8,60.7,29.5,0,0,EAST,FALSE
10007789,University of East Anglia,430,D,34,"Art and Design: History, Practice and Theory", ,,,Impact,14.9,80,20,0,0,0,EAST,FALSE
10007789,University of East Anglia,430,D,34,"Art and Design: History, Practice and Theory", ,,,Environment,14.9,60,30,10,0,0,EAST,FALSE
10007789,University of East Anglia,430,D,34,"Art and Design: History, Practice and Theory", ,,,Overall,14.9,31,48,21,0,0,EAST,FALSE
10007789,University of East Anglia,430,D,36,"Communication, Cultural and Media Studies, Library and Information Management", ,,,Outputs,9.5,37.8,48.7,10.8,2.7,0,EAST,FALSE
10007789,University of East Anglia,430,D,36,"Communication, Cultural and Media Studies, Library and Information Management", ,,,Impact,9.5,0,70,30,0,0,EAST,FALSE
10007789,University of East Anglia,430,D,36,"Communication, Cultural and Media Studies, Library and Information Management", ,,,Environment,9.5,70,10,10,10,0,EAST,FALSE
10007789,University of East Anglia,430,D,36,"Communication, Cultural and Media Studies, Library and Information Management", ,,,Overall,9.5,35,47,15,3,0,EAST,FALSE
10007144,University of East London,440,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy", ,,,Outputs,14.8,23.6,58.2,18.2,0,0,LOND,TRUE
10007144,University of East London,440,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy", ,,,Impact,14.8,20,80,0,0,0,LOND,TRUE
10007144,University of East London,440,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy", ,,,Environment,14.8,0,87.5,12.5,0,0,LOND,TRUE
10007144,University of East London,440,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy", ,,,Overall,14.8,19,67,14,0,0,LOND,TRUE
10007144,University of East London,440,A,4,"Psychology, Psychiatry and Neuroscience", ,,,Outputs,14.6,7.8,51.6,40.6,0,0,LOND,TRUE
10007144,University of East London,440,A,4,"Psychology, Psychiatry and Neuroscience", ,,,Impact,14.6,100,0,0,0,0,LOND,TRUE
10007144,University of East London,440,A,4,"Psychology, Psychiatry and Neuroscience", ,,,Environment,14.6,0,62.5,37.5,0,0,LOND,TRUE
10007144,University of East London,440,A,4,"Psychology, Psychiatry and Neuroscience", ,,,Overall,14.6,25,43,32,0,0,LOND,TRUE
10007144,University of East London,440,B,11,Computer Science and Informatics, ,,,Outputs,4,6.3,50,37.5,6.2,0,LOND,TRUE
10007144,University of East London,440,B,11,Computer Science and Informatics, ,,,Impact,4,0,0,10,90,0,LOND,TRUE
10007144,University of East London,440,B,11,Computer Science and Informatics, ,,,Environment,4,0,0,50,50,0,LOND,TRUE
10007144,University of East London,440,B,11,Computer Science and Informatics, ,,,Overall,4,4,33,33,30,0,LOND,TRUE
10007144,University of East London,440,B,15,General Engineering, ,,,Outputs,7.8,3.6,42.8,46.5,7.1,0,LOND,TRUE
10007144,University of East London,440,B,15,General Engineering, ,,,Impact,7.8,0,0,40,40,20,LOND,TRUE
10007144,University of East London,440,B,15,General Engineering, ,,,Environment,7.8,0,0,60,40,0,LOND,TRUE
10007144,University of East London,440,B,15,General Engineering, ,,,Overall,7.8,2,28,47,19,4,LOND,TRUE
10007144,University of East London,440,C,16,"Architecture, Built Environment and Planning", ,,,Outputs,5.2,30,16.7,36.6,16.7,0,LOND,TRUE
10007144,University of East London,440,C,16,"Architecture, Built Environment and Planning", ,,,Impact,5.2,0,50,10,40,0,LOND,TRUE
10007144,University of East London,440,C,16,"Architecture, Built Environment and Planning", ,,,Environment,5.2,0,25,50,25,0,LOND,TRUE
10007144,University of East London,440,C,16,"Architecture, Built Environment and Planning", ,,,Overall,5.2,20,24,33,23,0,LOND,TRUE
10007144,University of East London,440,C,19,Business and Management Studies, ,,,Outputs,3.25,0,37.5,50,12.5,0,LOND,TRUE
10007144,University of East London,440,C,19,Business and Management Studies, ,,,Impact,3.25,10,50,40,0,0,LOND,TRUE
10007144,University of East London,440,C,19,Business and Management Studies, ,,,Environment,3.25,0,0,75,25,0,LOND,TRUE
10007144,University of East London,440,C,19,Business and Management Studies, ,,,Overall,3.25,2,34,52,12,0,LOND,TRUE
10007144,University of East London,440,C,20,Law, ,,,Outputs,12.7,4.3,44.6,49,2.1,0,LOND,TRUE
10007144,University of East London,440,C,20,Law, ,,,Impact,12.7,0,90,10,0,0,LOND,TRUE
10007144,University of East London,440,C,20,Law, ,,,Environment,12.7,0,50,50,0,0,LOND,TRUE
10007144,University of East London,440,C,20,Law, ,,,Overall,12.7,3,54,42,1,0,LOND,TRUE
10007144,University of East London,440,C,22,Social Work and Social Policy, ,,,Outputs,8.85,9.3,41.9,41.8,7,0,LOND,TRUE
10007144,University of East London,440,C,22,Social Work and Social Policy, ,,,Impact,8.85,20,70,10,0,0,LOND,TRUE
10007144,University of East London,440,C,22,Social Work and Social Policy, ,,,Environment,8.85,0,50,50,0,0,LOND,TRUE
10007144,University of East London,440,C,22,Social Work and Social Policy, ,,,Overall,8.85,10,49,36,5,0,LOND,TRUE
10007144,University of East London,440,C,23,Sociology, ,,,Outputs,19.4,10.6,48.2,40,1.2,0,LOND,TRUE
10007144,University of East London,440,C,23,Sociology, ,,,Impact,19.4,53.3,23.4,23.3,0,0,LOND,TRUE
10007144,University of East London,440,C,23,Sociology, ,,,Environment,19.4,0,37.5,50,12.5,0,LOND,TRUE
10007144,University of East London,440,C,23,Sociology, ,,,Overall,19.4,18,41,38,3,0,LOND,TRUE
10007144,University of East London,440,C,25,Education, ,,,Outputs,8.4,12.1,51.5,18.2,18.2,0,LOND,TRUE
10007144,University of East London,440,C,25,Education, ,,,Impact,8.4,10,50,40,0,0,LOND,TRUE
10007144,University of East London,440,C,25,Education, ,,,Environment,8.4,0,25,75,0,0,LOND,TRUE
10007144,University of East London,440,C,25,Education, ,,,Overall,8.4,10,47,31,12,0,LOND,TRUE
10007144,University of East London,440,D,34,"Art and Design: History, Practice and Theory", ,,,Outputs,8.4,30,36.7,30,3.3,0,LOND,TRUE
10007144,University of East London,440,D,34,"Art and Design: History, Practice and Theory", ,,,Impact,8.4,0,40,60,0,0,LOND,TRUE
10007144,University of East London,440,D,34,"Art and Design: History, Practice and Theory", ,,,Environment,8.4,10,70,20,0,0,LOND,TRUE
10007144,University of East London,440,D,34,"Art and Design: History, Practice and Theory", ,,,Overall,8.4,21,42,35,2,0,LOND,TRUE
10007144,University of East London,440,D,35,"Music, Drama, Dance and Performing Arts", ,,,Outputs,7.2,11.1,29.6,33.4,22.2,3.7,LOND,TRUE
10007144,University of East London,440,D,35,"Music, Drama, Dance and Performing Arts", ,,,Impact,7.2,50,30,20,0,0,LOND,TRUE
10007144,University of East London,440,D,35,"Music, Drama, Dance and Performing Arts", ,,,Environment,7.2,0,50,40,10,0,LOND,TRUE
10007144,University of East London,440,D,35,"Music, Drama, Dance and Performing Arts", ,,,Overall,7.2,17,33,32,16,2,LOND,TRUE
10007144,University of East London,440,D,36,"Communication, Cultural and Media Studies, Library and Information Management", ,,,Outputs,14.8,29.2,43.1,23.1,4.6,0,LOND,TRUE
10007144,University of East London,440,D,36,"Communication, Cultural and Media Studies, Library and Information Management", ,,,Impact,14.8,20,80,0,0,0,LOND,TRUE
10007144,University of East London,440,D,36,"Communication, Cultural and Media Studies, Library and Information Management", ,,,Environment,14.8,70,20,10,0,0,LOND,TRUE
10007144,University of East London,440,D,36,"Communication, Cultural and Media Studies, Library and Information Management", ,,,Overall,14.8,33,47,17,3,0,LOND,TRUE
10007823,Edge Hill University,450,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy", ,,,Outputs,11.1,3.9,45.1,43.2,7.8,0,NWES,TRUE
10007823,Edge Hill University,450,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy", ,,,Impact,11.1,20,60,20,0,0,NWES,TRUE
10007823,Edge Hill University,450,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy", ,,,Environment,11.1,0,50,25,25,0,NWES,TRUE
10007823,Edge Hill University,450,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy", ,,,Overall,11.1,7,48,36,9,0,NWES,TRUE
10007823,Edge Hill University,450,A,4,"Psychology, Psychiatry and Neuroscience", ,,,Outputs,12.2,22.7,27.3,40.9,9.1,0,NWES,TRUE
10007823,Edge Hill University,450,A,4,"Psychology, Psychiatry and Neuroscience", ,,,Impact,12.2,0,40,60,0,0,NWES,TRUE
10007823,Edge Hill University,450,A,4,"Psychology, Psychiatry and Neuroscience", ,,,Environment,12.2,0,25,50,25,0,NWES,TRUE
10007823,Edge Hill University,450,A,4,"Psychology, Psychiatry and Neuroscience", ,,,Overall,12.2,15,29,46,10,0,NWES,TRUE
10007823,Edge Hill University,450,B,11,Computer Science and Informatics, ,,,Outputs,5,0,0,26.7,73.3,0,NWES,TRUE
10007823,Edge Hill University,450,B,11,Computer Science and Informatics, ,,,Impact,5,0,10,50,0,40,NWES,TRUE
10007823,Edge Hill University,450,B,11,Computer Science and Informatics, ,,,Environment,5,0,0,35,65,0,NWES,TRUE
10007823,Edge Hill University,450,B,11,Computer Science and Informatics, ,,,Overall,5,0,2,33,57,8,NWES,TRUE
10007823,Edge Hill University,450,C,17,"Geography, Environmental Studies and Archaeology", ,,,Outputs,9,4,28,36,24,8,NWES,TRUE
10007823,Edge Hill University,450,C,17,"Geography, Environmental Studies and Archaeology", ,,,Impact,9,0,40,10,50,0,NWES,TRUE
10007823,Edge Hill University,450,C,17,"Geography, Environmental Studies and Archaeology", ,,,Environment,9,0,0,12.5,87.5,0,NWES,TRUE
10007823,Edge Hill University,450,C,17,"Geography, Environmental Studies and Archaeology", ,,,Overall,9,3,26,27,39,5,NWES,TRUE
10007823,Edge Hill University,450,C,20,Law, ,,,Outputs,14,2,40.9,40.8,16.3,0,NWES,TRUE
10007823,Edge Hill University,450,C,20,Law, ,,,Impact,14,0,100,0,0,0,NWES,TRUE
10007823,Edge Hill University,450,C,20,Law, ,,,Environment,14,0,12.5,62.5,25,0,NWES,TRUE
10007823,Edge Hill University,450,C,20,Law, ,,,Overall,14,1,49,36,14,0,NWES,TRUE
10007823,Edge Hill University,450,C,22,Social Work and Social Policy, ,,,Outputs,17,7.3,32.7,38.2,18.2,3.6,NWES,TRUE
10007823,Edge Hill University,450,C,22,Social Work and Social Policy, ,,,Impact,17,0,26.7,10,36.6,26.7,NWES,TRUE
10007823,Edge Hill University,450,C,22,Social Work and Social Policy, ,,,Environment,17,0,25,62.5,12.5,0,NWES,TRUE
10007823,Edge Hill University,450,C,22,Social Work and Social Policy, ,,,Overall,17,5,30,36,21,8,NWES,TRUE
10007823,Edge Hill University,450,C,25,Education, ,,,Outputs,11.7,2.1,35.4,31.2,31.3,0,NWES,TRUE
10007823,Edge Hill University,450,C,25,Education, ,,,Impact,11.7,40,20,40,0,0,NWES,TRUE
10007823,Edge Hill University,450,C,25,Education, ,,,Environment,11.7,0,0,75,25,0,NWES,TRUE
10007823,Edge Hill University,450,C,25,Education, ,,,Overall,11.7,9,27,40,24,0,NWES,TRUE
10007823,Edge Hill University,450,C,26,"Sport and Exercise Sciences, Leisure and Tourism", ,,,Outputs,14,7.7,30.8,46.1,15.4,0,NWES,TRUE
10007823,Edge Hill University,450,C,26,"Sport and Exercise Sciences, Leisure and Tourism", ,,,Impact,14,40,20,40,0,0,NWES,TRUE
10007823,Edge Hill University,450,C,26,"Sport and Exercise Sciences, Leisure and Tourism", ,,,Environment,14,0,50,50,0,0,NWES,TRUE
10007823,Edge Hill University,450,C,26,"Sport and Exercise Sciences, Leisure and Tourism", ,,,Overall,14,13,32,45,10,0,NWES,TRUE
10007823,Edge Hill University,450,D,29,English Language and Literature, ,,,Outputs,13.9,13,44.4,40.7,1.9,0,NWES,TRUE
10007823,Edge Hill University,450,D,29,English Language and Literature, ,,,Impact,13.9,0,20,40,40,0,NWES,TRUE
10007823,Edge Hill University,450,D,29,English Language and Literature, ,,,Environment,13.9,0,20,60,20,0,NWES,TRUE
10007823,Edge Hill University,450,D,29,English Language and Literature, ,,,Overall,13.9,8,36,44,12,0,NWES,TRUE
10007823,Edge Hill University,450,D,30,History, ,,,Outputs,6.8,10,40,50,0,0,NWES,TRUE
10007823,Edge Hill University,450,D,30,History, ,,,Impact,6.8,20,40,40,0,0,NWES,TRUE
10007823,Edge Hill University,450,D,30,History, ,,,Environment,6.8,0,40,60,0,0,NWES,TRUE
10007823,Edge Hill University,450,D,30,History, ,,,Overall,6.8,11,40,49,0,0,NWES,TRUE
10007823,Edge Hill University,450,D,35,"Music, Drama, Dance and Performing Arts", ,,,Outputs,11.5,0,20.6,47,23.6,8.8,NWES,TRUE
10007823,Edge Hill University,450,D,35,"Music, Drama, Dance and Performing Arts", ,,,Impact,11.5,0,40,20,0,40,NWES,TRUE
10007823,Edge Hill University,450,D,35,"Music, Drama, Dance and Performing Arts", ,,,Environment,11.5,0,0,60,40,0,NWES,TRUE
10007823,Edge Hill University,450,D,35,"Music, Drama, Dance and Performing Arts", ,,,Overall,11.5,0,21,44,21,14,NWES,TRUE
10007823,Edge Hill University,450,D,36,"Communication, Cultural and Media Studies, Library and Information Management", ,,,Outputs,12.3,10.6,34.1,34,19.2,2.1,NWES,TRUE
10007823,Edge Hill University,450,D,36,"Communication, Cultural and Media Studies, Library and Information Management", ,,,Impact,12.3,20,20,20,0,40,NWES,TRUE
10007823,Edge Hill University,450,D,36,"Communication, Cultural and Media Studies, Library and Information Management", ,,,Environment,12.3,0,50,40,10,0,NWES,TRUE
10007823,Edge Hill University,450,D,36,"Communication, Cultural and Media Studies, Library and Information Management", ,,,Overall,12.3,11,34,32,14,9,NWES,TRUE
10007791,University of Essex,470,A,4,"Psychology, Psychiatry and Neuroscience", ,,,Outputs,21,40,44.3,15.7,0,0,EAST,FALSE
10007791,University of Essex,470,A,4,"Psychology, Psychiatry and Neuroscience", ,,,Impact,21,53.3,46.7,0,0,0,EAST,FALSE
10007791,University of Essex,470,A,4,"Psychology, Psychiatry and Neuroscience", ,,,Environment,21,25,75,0,0,0,EAST,FALSE
10007791,University of Essex,470,A,4,"Psychology, Psychiatry and Neuroscience", ,,,Overall,21,40,50,10,0,0,EAST,FALSE
10007791,University of Essex,470,A,5,Biological Sciences, ,,,Outputs,23,3.9,62.3,31.2,2.6,0,EAST,FALSE
10007791,University of Essex,470,A,5,Biological Sciences, ,,,Impact,23,0,60,40,0,0,EAST,FALSE
10007791,University of Essex,470,A,5,Biological Sciences, ,,,Environment,23,0,75,25,0,0,EAST,FALSE
10007791,University of Essex,470,A,5,Biological Sciences, ,,,Overall,23,3,63,32,2,0,EAST,FALSE
10007791,University of Essex,470,B,11,Computer Science and Informatics, ,,,Outputs,34.9,23,44.4,32.6,0,0,EAST,FALSE
10007791,University of Essex,470,B,11,Computer Science and Informatics, ,,,Impact,34.9,20,40,20,20,0,EAST,FALSE
10007791,University of Essex,470,B,11,Computer Science and Informatics, ,,,Environment,34.9,20,80,0,0,0,EAST,FALSE
10007791,University of Essex,470,B,11,Computer Science and Informatics, ,,,Overall,34.9,22,49,25,4,0,EAST,FALSE
10007791,University of Essex,470,C,18,Economics and Econometrics, ,,,Outputs,33.33,29.2,60.2,10.6,0,0,EAST,FALSE
